An	Durata	Titlu	Categorie	Premii
1983	91	Outsiders, The	Drama	Nu
1977	91	Angela	Drama	Nu
1981	91	So Fine	Comedy	Nu
1988	91	In a Shallow Grave	Drama	Nu
1970	91	Man Who Haunted Himself, The	Drama	Nu
1987	91	Young Love: Lemon Popsicle Seven	Comedy	Nu
1988	91	Track Twenty-Nine	Drama	Nu
1987	91	Big Shots	Action	Nu
1983	91	All the Right Moves	Drama	Nu
1986	91	Mr Love.	Comedy	Nu
1970	91	Start the Revolution Without Me	Comedy	Nu
1989	91	Young Einstein	Comedy	Nu
1954	91	Apache	Western	Nu
1989	91	Too Beautiful for You	Drama	Nu
1986	91	Wise Guys	Comedy	Nu
1987	91	Penitentiary III	Action	Nu
1973	91	Executive Action	Drama	Nu
1986	91	La Chevre, (The Goat)	Drama	Nu
1983	91	Strange Brew	Comedy	Nu
1953	91	Mummy's Revenge, The	Horror	Nu
1991	91	Out for Justice	Action	Nu
1960	91	Never Let Go	Action	Nu
1932	92	Rich & Strange	Drama	Nu
1982	92	Fast Times at Ridgemont High	Comedy	Nu
1993	92	Naked Truth, The	Comedy	Nu
1979	92	Brood, The	Horror	Nu
1972	92	Napoleon & Samantha	Comedy	Nu
1987	92	Back to the Beach	Comedy	Nu
1930	92	Anna Christie	Drama	Nu
1953	92	Two Nights with Cleo	Drama	Nu
1955	92	Il Bidone	Drama	Nu
1990	92	After the Shock	Drama	Nu
1982	92	48 Hrs.	Action	Nu
1980	92	Rodeo Girl	Drama	Nu
1980	92	Final Countdown, The	Action	Nu
1988	92	Permanent Record	Drama	Nu
1972	92	Fuzz	Action	Nu
1990	92	Sun Shines Bright, The	Action	Nu
1990	92	Witches, The	Science Fiction	Nu
1988	92	Bloodsport	Action	Nu
1953	92	His Majesty O'Keefe	Action	Nu
1976	92	Street People	Action	Nu
1984	92	Crackers	Action	Nu
1982	92	An Evening with Robin Williams	Comedy	Nu
1988	92	A Month in the Country	Drama	Nu
1988	92	Judgement in Berlin	Drama	Nu
1985	92	What Comes Around	Drama	Nu
1972	92	Culpepper Cattle Company, The	Western	Nu
1982	92	Alone in the Dark	Horror	Nu
1992	92	Dead Pool, The	Action	Nu
1990	92	Primal Rage	Mystery	Nu
1958	92	Tom Thumb	Science Fiction	Nu
1991	92	Spencer Tracy Legacy, The	Comedy	Nu
1946	93	Crisis	Drama	Nu
1988	93	Lair of the White Worm, The	Horror	Nu
1990	93	Court-Martial of Jackie Robinson, The	Drama	Nu
1949	93	She Wore a Yellow Ribbon	Western	Nu
1987	93	Hot Pursuit	Drama	Nu
1984	93	Reckless	Drama	Nu
1983	93	Tender Mercies	Drama	Da
1987	93	Bodycount	Action	Nu
1990	93	A Show of Force	Drama	Nu
1989	93	Streets of Fire	Action	Nu
1986	93	Golden Child, The	Comedy	Nu
1950	93	To Joy	Drama	Nu
1946	93	Crack-Up	Mystery	Nu
1989	93	Seizure	Horror	Nu
1990	93	Web of Deceit	Drama	Nu
1987	93	Planes, Trains & Automobiles	Comedy	Nu
1988	93	Diamond Trap, The	Drama	Nu
1963	93	Lilies of the Field	Drama	Da
1986	93	Ruthless People	Comedy	Nu
1987	93	Some Kind of Wonderful	Drama	Nu
1989	93	Cookie	Comedy	Nu
1975	93	That Lucky Touch	Action	Nu
1970	93	Powderkeg	Western	Nu
1982	93	Class of 1984	Drama	Nu
1973	93	Santee	Western	Nu
1952	93	Othello, The Lost Masterpiece	Drama	Nu
1980	93	Cry of the Innocent	Drama	Nu
1978	94	Days of Heaven	Drama	Nu
1970	94	Think Dirty	Comedy	Nu
1969	94	Easy Rider	Drama	Nu
1982	94	Eyes of the Amaryllis, The	Drama	Nu
1984	94	Best Defense	Comedy	Nu
1990	94	Snow Kill	Drama	Nu
1981	94	Looker	Science Fiction	Nu
1987	94	Kandyland	Drama	Nu
1987	94	Campus Man	Drama	Nu
1990	94	Rain Killer, The	Mystery	Nu
1970	94	There's a Girl in My Soup	Comedy	Nu
1987	94	Rita, Sue & Bob Too	Comedy	Nu
1987	94	Raising Arizona	Comedy	Nu
1977	94	Annie Hall	Comedy	Da
1953	94	Ugetsu Monogatari	Drama	Nu
1983	94	Rumble Fish	Drama	Nu
1990	94	Priceless Beauty	Science Fiction	Nu
1991	94	Shock 'em Dead	Horror	Nu
1986	94	RAD	Action	Nu
1980	94	Out of the Blue	Drama	Nu
1991	94	Nothing But Trouble	Comedy	Nu
1986	94	One Crazy Summer	Comedy	Nu
1976	94	Front, The	Drama	Nu
1939	94	Jamaica Inn	Drama	Nu
1986	94	A Smoky Mountain Christmas	Music	Nu
1979	94	Jerk, The	Comedy	Nu
1988	94	Her Alibi	Comedy	Nu
1988	94	Experts, The	Comedy	Nu
1989	94	Naked Lie	Drama	Nu
1985	94	Rumor Mill, The	Drama	Nu
1941	94	Texas	Western	Nu
1985	94	My Science Project	Comedy	Nu
1953	94	Vera Cruz	Action	Nu
1987	94	Wolf at the Door, The	Drama	Nu
1990	94	Bellboy & the Playgirls, The	Drama	Nu
1990	94	Final Alliance, The	Action	Nu
1975	94	Posse	Western	Nu
